Country,City,alt_name_or_state,population,lat,long
China,Qiqihar,,1540089,47.345,123.99
China,Pizhou,,1539922,34.3964,117.9107
Japan,Fukuoka,,1538681,33.595,130.41
China,Taian,,1538211,36.2,117.1201
Brazil,Recife,,1537704,-8.0756,-34.9156
Saudi Arabia,Makkah,,1534731,21.43,39.82
China,Datong,,1526744,40.08,113.3
Republic of Korea,Gwangju,Kwangchu,1521704,35.171,126.9104
Russian Federation,Novosibirsk,,1511369,55.03,82.96
Uganda,Kampala,,1507114,0.3167,32.5833
United States of America,San Antonio,TX,1492510,29.4722,-98.5247
China,Taizhou,Zhejiang,1491963,32.4904,119.9
China,Luoyang,,1491680,34.68,112.4701
Philippines,Caloocan,Caloocan,1489040,14.6492,120.9826
Zimbabwe,Harare,,1485231,-17.8178,31.0447
China,Jinjiang,,1479259,24.799,118.556
Mongolia,Ulaanbaatar,,1477174,47.9167,106.9166
Burkina Faso,Ouagadougou,,1475223,12.3703,-1.5247
Japan,Kawasaki,,1475213,35.53,139.705
Japan,Kyoto,,1475183,35.03,135.75
India,Indore,,1474968,22.7151,75.865
China,Xiantao,,1474078,30.3704,113.44
Germany,Munich,,1456039,48.1299,11.575
Indonesia,Palembang,,1455284,-2.98,104.75
Ukraine,Kharkiv,,1449871,50,36.25
China,Xinghua,,1441659,NA,NA
India,Bhopal,,1437354,23.25,77.41
China,Fushun,,1434447,41.8654,123.87
Mexico,Puebla-Tlaxcala,,1434062,19.05,-98.2
Brazil,Belo Horizonte,,1433244,-19.915,-43.915
China,Shangqiu,,1428983,34.4504,115.65
China,Wuxi,,1425766,31.58,120.3
China,Hechuan,,1420520,30.1,106.29
China,Wujin,,1420204,31.6567,119.9365
China,Guigang,,1413128,23.106,109.594
China,Jianyang,Sichuan,1412523,30.4042,104.5226
Brazil,Porto Alegre,,1409351,-30.05,-51.2
China,Huhehaote,,1406955,40.8252,111.6932
United States of America,San Diego,CA,1406630,32.8312,-117.1226
India,Ludhiana,,1398467,30.9278,75.8723
China,Neijiang,,1391931,29.5804,105.05
Russian Federation,Yekaterinburg,,1386909,56.85,60.6
China,Nanan,,1385276,24.972,118.3838
Uruguay,Montevideo,,1382778,-34.858,-56.1711
China,Weifang,,1380300,36.7204,119.1001
China,Daqing,,1380051,46.58,125
Serbia,Belgrade,Beograd,1378682,44.8186,20.468
China,Tongzhou,,1371498,39.80786,116.7307
India,Patna,,1366444,25.625,85.13
Jordan,Az Zarqa,,1364878,32.07,36.1
China,Rugao,,1362533,32.272,120.59
China,Guiping,,1359035,NA,NA
Italy,Milan,,1358871,45.47,9.205
China,Huainan,,1357228,32.63,116.98
China,Suining,,1355388,30.5333,105.5333
China,Bozhou,,1351939,33.835,115.772
China,Zhanjiang,,1350665,21.2,110.38
China,Changde,,1346739,29.03,111.68
China,SuzhouJiangsu,Jiangsu,1344709,31.3005,120.62
China,Xintai,,1344395,35.8918,117.7676
Indonesia,Ujungpandang,Ujung Pandang,1338663,-5.14,119.432
Canada,Calgary,,1336274,51.083,-114.08
China,Handan,,1329734,36.58,114.48
China,Jiangjin,,1322890,29.2076,106.2492
China,Pingdu,,1321975,36.7904,119.94
Mexico,Juárez,,1321004,-37.6655,-59.8
United States of America,Dallas,TX,1317929,32.7937,-96.7662
China,Jiangyin,,1315472,31.9178,120.2985
China,Liuyang,,1307572,28.1868,113.6423
India,Vadodara,,1306227,22.31,73.18
Australia,Adelaide,,1305811,-34.935,138.6
United Republic of Tanzania,Zanzibar,,1303569,-6.16,39.2
Mexico,Coatzacoalcos,,1301452,18.1204,-94.42
Mexico,Tijuana,,1300983,32.5,-117.08
Brazil,Goiânia,,1296324,-16.72,-49.3
Czechia,Praha,,1294513,50.0833,14.466
China,Xuanwei,,1292825,26.2442,104.1313
China,Dengzhou,,1290656,32.6804,112.08
Russian Federation,Nizhny Novgorod,,1289477,56.333,44.0001
China,Heze,,1280031,35.23,115.45
India,Agra,,1275134,27.1704,78.015
China,Shantou,,1270112,23.37,116.67
China,Leizhou,,1268298,20.9394,110.0807
China,Yongcheng,,1264607,33.9302,116.4061
Japan,Saitama,,1263979,35.9,139.65
Venezuela (Bolivarian Republic of),Valencia,,1263888,10.23,-67.98
India,Thane,,1262551,19.21,72.9774
China,Xinyang,,1255750,32.1304,114.07
China,Luzhou,,1252884,28.88,105.38
China,Changshu,,1239637,31.6441,120.7494
Mexico,León,,1238962,21.15,-101.7
Bulgaria,Sofia,,1238438,42.6833,23.3167
China,Taixing,,1235454,32.1586,120.0477
China,Laiwu,,1233525,36.2004,117.66
China,Xiaoshan,,1233348,30.1648,120.2704
China,Yiyang,,1228881,28.6004,112.33
China,Liuzhou,,1220392,24.28,109.25
China,Gaozhou,,1219132,21.9089,110.854
China,Fengcheng,Jiangxi,1216412,28.2004,115.77
China,Cixi,,1214537,30.1869,121.2663
United Kingdom of Great Britain and Northern Ireland,Glasgow,,1209143,55.8744,-4.2507
China,Ruian,,1207788,27.7759,120.6553
China,Lianjiang,,1205764,NA,NA
Iran (Islamic Republic of),Qom,,1201158,34.65,50.95
China,Huaian,,1200679,33.547,119.112
Japan,Hiroshima,,1194034,34.3878,132.4429
India,Kalyan,,1193512,19.2502,73.1602
China,Quanzhou,,1192286,24.9,118.58
China,Bazhong,,1185862,31.8577,106.7472
Iran (Islamic Republic of),Ahwaz,,1184788,31.28,48.72
China,Haicheng,,1181130,40.8577,122.7512
China,Xishan,,1181073,31.5853,120.3583
China,Leiyang,,1180235,26.4142,112.8512
China,Jinzhou,,1177150,41.1204,121.1
China,Fuqing,,1174540,25.7194,119.3737
Georgia,Tbilisi,,1172700,41.725,44.7908
Russian Federation,Samara,Samarskaya oblast,1170381,53.195,50.1513
Russian Federation,Kazan,,1168745,55.7499,49.1263
Algeria,Wahran,Oran,1165687,35.71,-0.62
Republic of Korea,Ulsan,,1165646,35.5467,129.317
China,Lufeng,,1164767,22.9261,115.6495
China,Dongtai,,1164653,32.8457,120.3064
China,Yixing,,1164275,31.364,119.8231
China,Mianyang,,1162962,31.47,104.77
China,Wenling,,1162783,28.403,121.3576
China,Leqing,,1162765,28.1084,120.9751
Russian Federation,Omsk,,1158627,54.99,73.4
Honduras,Tegucigalpa,,1157509,14.102,-87.2175
Argentina,Córdoba,,1157507,-31.4,-64.1823
China,Yushu,,1155670,32.99,97.009
China,Chifeng,,1153723,42.27,118.95
Russian Federation,Chelyabinsk,,1149829,55.155,61.4387
China,Rizhao,,1148190,35.4304,119.45
China,Tianshui,,1146986,34.6,105.92
China,Huzhou,,1145414,30.8704,120.1
Mexico,Zapopan,,1142483,20.6665,-103.4187
Mexico,Manzanillo,,1137465,19.0496,-104.3231
Mexico,Monterrey,,1135512,25.67,-100.33
China,Macheng,,1129047,31.18,115.03
China,Wuxian,,1128429,NA,NA
China,Bijie,,1128230,27.3,105.3006
China,Yuzhou,,1122669,34.1495,113.4795
China,Leshan,,1120158,29.5671,103.7333
Argentina,La Matanza,,1120088,-34.6793,-58.5619
Armenia,Yerevan,,1116648,40.1812,44.5136
Bolivia (Plurinational State of),Santa Cruz,,1113582,-17.7539,-63.226
China,Jimo,,1111202,NA,NA
Colombia,Barranquilla,,1109067,10.96,-74.8
China,Dingzhou,,1107903,38.5004,115
Mexico,Netzahualcóyotl,,1104585,19.3936,-98.9908
China,Zoucheng,,1101003,35.3964,117.0037
Saudi Arabia,Medina,,1100093,24.5,39.58
Russian Federation,Rostov-Na-Donu,,1100091,47.2246,39.7076
Senegal,Pikine,,1096830,NA,NA
China,Anqiu,,1096782,30.5,117.05
China,Guangan,,1093103,30.4465,106.6398
India,Varanasi,,1091918,25.33,83
United Kingdom of Great Britain and Northern Ireland,Birmingham,,1085810,52.475,-1.92
Japan,Sendai,,1082159,38.2871,141.0217
China,Shouguang,,1081991,36.8757,118.7837
China,Changzhou,,1081845,31.78,119.97
Germany,Köln,,1080394,50.93,6.95
India,Nashik,,1077236,20.0039,73.79056
Senegal,Dakar,,1075582,14.7158,-17.4731
Russian Federation,Ufa,,1075007,54.79,56.04
China,Zhuji,,1070675,29.7312,120.236
India,Meerut,,1068772,29.0004,77.7
China,Hanchuan,,1057396,30.654,113.837
China,Qidong,,1057073,31.768,121.663
Sierra Leone,Freetown,,1055964,8.47,-13.2342
India,Faridabad,,1055938,28.4333,77.3167
Kazakhstan,Astana,,1054480.5,51.1811,71.4278
China,Zaoyang,,1054374,32.109,112.778
Ukraine,Dnepropetrovsk,,1053951,48.502,34.827
China,Zhucheng,,1053695,35.99,119.3801
China,Jiangdu,,1053023,32.445,119.566
China,Xiangcheng,,1052468,34.275,108.895
China,Zigong,,1051384,29.4,104.78
China,Jining,Shandong,1050522,35.4004,116.55
China,Beiliu,,1049035,39.9289,116.3883
China,Gongzhuling,,1041735,43.49,124.82
China,Qinzhou,,1035504,21.9504,108.62
United States of America,San Jose,CA,1026908,37.3018,-121.8485
Niger,Niamey,,1026848,13.5167,2.1167
Egypt,Shubra-El-Khema,,1025569,30.13,31.26
China,Ezhou,,1023285,30.386,114.894
Guatemala,Guatemala,,1022001,14.6211,-90.527
China,Zhongxiang,,1021998,24.965,121.2168
Russian Federation,Volgograd,,1021215,48.71,44.5
China,Ziyang,,1016034,25.97,113.4
Pakistan,Islamabad,,1014825,33.7,73.1666
China,Mudanjiang,,1014206,44.575,129.59
India,Pimpri Chinchwad,,1012472,18.633,73.794
Japan,Kitakyushu,,1011471,33.8704,130.82
Ukraine,Odessa,,1010298,46.49,30.71
China,Huazhou,,1007796,21.66,110.6345
India,Haora,,1007532,22.5804,88.3299
Canada,Ottawa,,1007501,45.4167,-75.7
Ukraine,Donetsk,,1007440,48,37.83
China,Fuzhou,Jiangxi,1007391,26.08,119.3
Russian Federation,Perm,,1007272,58,56.25
Russian Federation,Krasnoyarsk,,1006856,56.014,92.866
Canada,Edmonton,,1004947,53.55,-113.5
Italy,Napoli,,1004500,40.84,14.245
Pakistan,Quetta,,1001205,30.22,67.025
Venezuela (Bolivarian Republic of),Barquisimeto,,1000632,10.05,-69.3
