"Long","Lat","Easting","Northing"
174.7842338,-41.281224,314438.902838818,5427655.77505413
174.7844202,-41.28178989,314456.11777917,5427593.34514451
174.7845743,-41.28190516,314469.350386739,5427580.87661418
174.7847589,-41.28191637,314484.842473506,5427580.02660075
174.7858347,-41.28172944,314574.411712341,5427603.07954488
174.7860804,-41.28162497,314594.69339556,5427615.20329293
174.7872484,-41.28141474,314691.919238045,5427641.03861132
174.7879862,-41.28130933,314753.412481884,5427654.31679466
174.7881857,-41.28119634,314769.801171257,5427667.28737277
174.7884318,-41.28121898,314790.476403998,5427665.29892507
174.7888778,-41.28121813,314827.827054657,5427666.34490935
174.7892158,-41.28112503,314855.871707206,5427677.4024577
174.7896307,-41.28104335,314890.38921572,5427687.35598937
174.7899846,-41.28110045,314920.190267646,5427681.77112592
174.7900765,-41.28098471,314927.559860035,5427694.81720852
174.790045,-41.28077676,314924.333872199,5427717.83784743
174.7898897,-41.28033792,314910.086664557,5427766.22922953
174.7898894,-41.28023392,314909.767543691,5427777.77526775
174.7899352,-41.28015294,314913.374492712,5427786.86379834
174.7896239,-41.27905571,314884.200243754,5427908.02070521
174.7897604,-41.27850076,314894.063846177,5427969.92553678
174.7888738,-41.27552102,314811.38023215,5428298.86216056
174.7888112,-41.27518602,314805.189575049,5428335.92221071
174.7887333,-41.27488571,314797.815456849,5428369.09813232
174.7886101,-41.27454743,314786.539581255,5428406.39303883
174.7859798,-41.26515714,314539.639541212,5429443.34032186
174.7865311,-41.26449738,314583.955630522,5429517.76800174
174.7873919,-41.26443795,314655.899003884,5429526.20416926
174.7876982,-41.26410222,314680.608889094,5429564.13258076
174.7889108,-41.26349894,314780.486635275,5429633.69951965
174.7887944,-41.26089885,314763.384234727,5429922.12739838
174.7877215,-41.26187174,314676.251507134,5429811.82243806
174.7865249,-41.26264835,314578.203046375,5429723.04425504
174.7854819,-41.26334635,314492.802093615,5429643.32056189
174.7848998,-41.26399465,314445.87335412,5429570.09886501
174.7842716,-41.2646199,314395.018385088,5429499.33741694
174.7832753,-41.2655463,314314.181675156,5429394.3530334
174.7821106,-41.26666944,314219.798438853,5429267.16414732
174.7815286,-41.26733791,314172.940677735,5429191.70130606
174.781345,-41.26763873,314158.414130003,5429157.90958312
174.7809945,-41.26858703,314131.744077518,5429051.87363665
174.7809342,-41.26894539,314127.709813211,5429011.9573853
174.7809665,-41.26941915,314131.75986331,5428959.427025
174.7812924,-41.27034305,314161.680712235,5428857.54810642
174.7818649,-41.27143982,314212.747420568,5428737.00385091
174.7824837,-41.27258272,314267.821607438,5428611.43671761
174.7830399,-41.27339059,314316.700724358,5428522.93224895
174.7836113,-41.2741291,314366.6552758,5428442.16072756
174.7840745,-41.27470603,314407.08808746,5428379.09709693
174.7841053,-41.27474064,314409.765967304,5428375.32034752
174.7841311,-41.27512932,314413.028462739,5428332.22203133
174.7839013,-41.27537244,314394.46969212,5428304.73812591
174.7832563,-41.2756279,314341.169541197,5428274.99615497
174.7827188,-41.27581381,314296.67658044,5428253.20560337
174.7815513,-41.27617423,314199.911489582,5428210.69135941
174.7810608,-41.27663488,314160.135616323,5428158.49731938
174.7806786,-41.27731741,314130.060975658,5428081.900548
174.7802651,-41.2778151,314096.840710607,5428025.75859672
174.7794975,-41.27820942,314033.669750732,5427980.33462019
174.7787914,-41.27858051,313975.584486235,5427937.62100233
174.778346,-41.27874311,313938.742182872,5427918.61354102
174.7775309,-41.27873304,313870.445270029,5427917.98400668
174.7770388,-41.27869927,313829.133658669,5427920.67798248
174.7768398,-41.27898853,313813.289014281,5427888.13579836
174.776902,-41.27919643,313819.089675965,5427865.18694295
174.7768714,-41.27924271,313816.658402551,5427859.98302889
174.7768254,-41.27930057,313812.970252626,5427853.46040046
174.7767642,-41.27938157,313808.074854894,5427844.33602555
174.7767182,-41.27941633,313804.321032163,5427840.37808956
