Group,Sample ID,Samp m [g],UTM east [m],UTM north [m],Longitude,Latitude,Samp type,Depth [m] (min),Depth [m] (max),Cond electr [µS/cm],pH,Al [mg/kg],As [mg/kg],B [mg/kg],Ba [mg/kg],Be [mg/kg],Ca [mg/kg],Cd [mg/kg],Ce [mg/kg],Co [mg/kg],Cr [mg/kg],Cu [mg/kg],Fe [mg/kg],Ga [mg/kg],Gd [mg/kg],Ge [mg/kg],K [mg/kg],La [mg/kg],Mg2+ [mg/kg],Mn [mg/kg],Mo [mg/kg],Na [mg/kg],Nb [mg/kg],Nd [mg/kg],Ni [mg/kg],P [mg/kg],Pb [mg/kg],S [mg/kg],Sc [mg/kg],Si [mg/kg],Sr [mg/kg],Th [mg/kg],Ti [mg/kg],V [mg/kg],Y [mg/kg],Zn [mg/kg],Zr [mg/kg]
2,11,0.3,391982,6465456,115.8572,-31.9417,Soil.wetland,0,0.05,66.3,7.68,4722.581007,2.0681,4.0791,170.28862,0.19779,8754.14509,0.27079,8.6075,3.41997,11.46726,95.59931,13665.23146,3.55782,0.65493,1.2175,190.54124,4.31926,721.09764,94.46323,0.64005,125.40418,11.99278,0.81694,8.97718,511.49652,464.56354,731.24699,0.76347,753.13968,62.26659,1.71843,135.227,14.33643,3.38381,271.74097,0.98423
3,1,0.336,391869,6465544,115.856,-31.9409,Soil,0,0.05,127.6,6.6,11791.79094,3.82503,2.06262,29.19145,0.10417,12743.95469,0.10752,6.73453,2.01729,17.18381,21.84537,15612.24069,4.54734,0.7981,1.69577,274.93088,3.22679,860.28618,101.17926,0.8111,204.97852,18.394,1.17193,2.92704,279.08976,86.25219,391.56495,1.27404,815.93908,33.56762,4.52334,209.01072,41.41679,3.60829,179.84674,2.84956
3,2,0.297,391866,6465535,115.8559,-31.94098,Soil,0,0.05,125.6,5.44,3493.905066,,,18.51857,0.05222,1959.50128,0.0477,3.31904,1.17041,6.35768,8.99556,5751.740781,,0.33746,0.39282,226.60948,1.63332,389.79095,29.63745,0.32398,97.26026,11.45379,1.25596,2.88098,274.20915,46.1362,397.61662,0.35662,542.80859,9.2538,1.12604,136.74055,15.66428,1.72694,75.84737,1.11094
3,3,0.3,391889,6465519,115.8562,-31.94113,Soil,0,0.05,125.6,5.56,6300.737525,,,22.19181,0.09188,14056.80876,0.1625,6.03856,1.55877,10.91165,35.33041,6678.453937,0.55643,0.6194,1.11885,223.5777,3.24981,625.05419,49.47257,0.35749,249.08139,15.86246,1.4227,6.09362,268.61488,50.30293,242.37318,0.80973,874.00293,64.09969,1.77975,180.67122,19.96833,2.85436,166.22733,0.95044
3,4,0.302,391901,6465510,115.8563,-31.94121,Soil,0,0.05,340,7.79,4912.897488,1.50159,8.7628,34.1784,0.09802,60303.09419,0.07165,4.97737,1.45776,9.91679,16.26305,4901.931544,0.49848,0.69176,1.98199,312.26631,3.50041,1192.89926,90.10059,0.60921,253.69446,8.59748,,3.00773,619.49459,22.81385,819.94563,0.36206,685.66619,134.73587,0.64438,67.74906,21.08655,6.37631,76.70119,1.2324
3,5,0.355,391902,6465516,115.8563,-31.94115,Soil,0,0.05,114.7,6.35,2779.943246,,,10.41525,0.03625,1459.35602,0.0593,3.20768,0.69581,6.8189,6.21584,2963.421974,,0.29951,,197.30972,1.56925,251.79454,30.50687,0.28962,88.83612,6.57295,0.97499,1.45712,216.57484,18.3815,352.63229,0.34105,540.10889,7.43802,1.13285,75.80597,9.74125,1.25902,69.75397,0.64748
3,6,0.303,391928,6465494,115.8566,-31.94136,Soil,0,0.05,97,6,4148.820269,3.10126,,12.5974,0.05666,1160.23834,0.07401,5.93842,0.93057,10.70969,7.94353,4088.021771,,0.40583,0.41602,159.07017,2.41875,186.4608,62.24301,0.3425,68.98216,7.79278,1.59939,7.41056,217.77924,21.99034,231.63298,0.43445,682.11061,6.79516,1.16689,93.50811,12.09233,1.46968,50.84927,0.735
3,7,0.302,391953,6465491,115.8569,-31.94139,Soil,0,0.05,255,5.55,7281.388098,,,26.41169,0.10655,14754.08346,0.03045,4.87156,1.291,16.81107,8.93006,14081.21996,,0.62983,1.44186,715.89539,3.04287,842.97421,50.01662,0.27675,133.52069,33.50094,1.25134,1.91872,242.84443,17.61872,203.62344,1.12898,663.77333,48.75482,2.975,407.88217,26.61569,1.69258,48.5981,1.73589
3,8,0.303,391972,6465494,115.8571,-31.94136,Soil,0,0.05,394,7.35,3567.515223,1.68752,3.68375,63.75494,0.08093,12224.19064,0.12275,5.03903,1.38309,7.8618,34.79073,6650.5866,1.02965,0.47276,1.12221,162.06594,2.84083,597.4469,45.6409,0.52576,166.65413,9.16545,0.77118,4.92531,301.09838,155.63696,319.55526,0.46382,717.36449,75.41747,1.50678,102.183,9.93695,1.75696,175.86734,0.64023
3,9,0.298,391965,6465475,115.857,-31.94153,Soil.wetland,0,0.05,587,7.15,4478.359933,2.68625,,42.71016,0.09954,6324.72372,0.12808,5.29513,0.85987,9.60944,39.36502,9473.81679,1.9646,0.41382,0.84227,213.11803,2.87002,505.09377,87.3119,0.48485,151.94659,11.43172,1.49697,6.29446,400.75906,80.24277,246.39846,0.52683,646.41387,33.31714,1.65231,134.32907,14.06883,1.70129,180.93813,1.21195
