Long,Lat,,City,Population (millions),Proj. Pop. 2030 (millions),Pop. 2018,Proj. Pop. 2030,,City,Dongguan,Foshan,Guangzhou,Hong Kong,Jiangmen,Macao,Shenzhen,Zhongshan,Zhuhai,TOTAL
87.19275093,27.82305336,,,,,,,,,,,,,,,,,,
86.68637276,28.11221886,,,,,,,,,,,,,,,,,,
86.44497871,27.90805244,,,,,,,,,,,,,,,,,,
86.18359566,28.16388512,,,,,,,,,,,,,,,,,,
86.01443672,27.88277626,,,,,,,,,,,,,,,,,,
85.72137642,28.27916527,,,,,,,,,,,,,,,,,,
85.10664558,28.30944252,,,,,,,,,,,,,,,,,,
85.18997383,28.60333061,,,,,,,,,,,,,,,,,,
84.48109627,28.73666191,,,,,,,,,,,,,,,,,,
84.11914253,29.26000023,,,,,,,,,,,,,,,,,,
83.5527668,29.18583107,,,,,,,,,,,,,,,,,,
82.10054207,30.34222221,,,,,,,,,,,,,,,,,,
81.42109871,30.38527489,,,,,,,,,,,,,,,,,,
81.2236042,30.0102787,,,,,,,,,,,,,,,,,,
81.02536201,30.20435524,,,,,,,,,,,,,,,,,,
79.09248543,31.43749809,,,,,,,,,,,,,,,,,,
78.76721382,31.30999947,,,,,,,,,,,,,,,,,,
78.39776802,32.54860878,,,,,,,,,,,,,,,,,,
78.76054573,32.63555336,,,,,,,,,,,,,,,,,,
78.97110176,32.35083199,,,,,,,,,,,,,,,,,,
79.53027534,32.75416756,,,,,,,,,,,,,,,,,,
78.81164742,33.52582741,,,,,,,,,,,,,,,,,,
78.98535347,34.35001564,,,,,,,,,,,,,,,,,,
78.30914497,34.64249611,,,,,,,,,,,,,,,,,,
78.07554817,35.44582558,,,,,,,,,,,,,,,,,,
77.82393074,35.50132942,,,,,,,,,,,,,,,,,,
76.16638374,35.81971931,,,,,,,,,,,,,,,,,,
75.86442757,36.65967751,,,,,,,,,,,,,,,,,,
74.81749153,37.02176857,,,,,,,,,,,,,,,,,,
74.56543159,37.02781868,,,,,,,,,,,,,,,,,,
74.39221382,37.17507362,,,,,,,,,,,,,,,,,,
74.91574287,37.23732948,,,,,,,,,,,,,,,,,,
75.18748665,37.4065876,,,,,,,,,,,,,,,,,,
74.9027729,37.64715767,,,,,,,,,,,,,,,,,,
74.85664558,38.47048378,,,,,,,,,,,,,,,,,,
73.81776619,38.6077137,,,,,,,,,,,,,,,,,,
73.65568733,39.45482826,,,,,,,,,,,,,,,,,,
73.99443245,40.0460453,,,,,,,,,,,,,,,,,,
74.86026192,40.5193882,,,,,,,,,,,,,,,,,,
75.57805061,40.6479969,,,,,,,,,,,,,,,,,,
75.6972065,40.29911232,,,,,,,,,,,,,,,,,,
76.3458271,40.35022163,,,,,,,,,,,,,,,,,,
76.87387276,41.01410866,,,,,,,,,,,,,,,,,,
78.08082771,41.04078865,,,,,,,,,,,,,,,,,,
80.23402596,42.19622231,,,,,,,,,,,,,,,,,,
80.17192268,42.66050911,,,,,,,,,,,,,,,,,,
80.57859993,42.89107704,,,,,,,,,,,,,,,,,,
80.37664986,43.02523994,,,,,,,,,,,,,,,,,,
80.81721687,43.1560688,,,,,,,,,,,,,,,,,,
80.36276436,44.12524605,,,,,,,,,,,,,,,,,,
80.52083015,44.73247719,,,,,,,,,,,,,,,,,,
79.87109566,44.9049778,,,,,,,,,,,,,,,,,,
81.68831062,45.35081673,,,,,,,,,,,,,,,,,,
82.56164742,45.12941933,,,,,,,,,,,,,,,,,,
82.64943123,45.43026161,,,,,,,,,,,,,,,,,,
82.31776619,45.57053566,,,,,,,,,,,,,,,,,,
83.04054451,47.21221352,,,,,,,,,,,,,,,,,,
84.75943184,46.82638741,,,,,,,,,,,,,,,,,,
85.52931404,47.06016731,,,,,,,,,,,,,,,,,,
85.75915718,48.38777351,,,,,,,,,,,,,,,,,,
86.59610176,48.53611183,,,,,,,,,,,,,,,,,,
86.87469673,49.11082649,,,,,,,,,,,,,,,,,,
87.34820747,49.09262276,,,,,,,,,,,,,,,,,,
87.84070015,49.17295265,,,,,,,,,,,,,,,,,,
