ICP.Seq.No,Group,Sample,Type,Easting,Northing,Longitude,Latitude,Reserve,Zone3,pH,EC,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,Ca.lo.hi,Dist.Albert.m,Dist.Barrett.N.m,Dist.Barrett.Mid.m,Dist.Barrett.S.m,Dist.Bourke.m,Dist.Kayle.N.m,Dist.Kayle.S.m,Dist.Emmerson.E.m,Dist.Emmerson.W.m,Dist.Charles.m,Min.dist.street.m,Street50,Street20,pH.old,EC.µS.cm.log,Al.pow,As.pow,Ba.log,Ca.pow,Cd.log,Ce.log,Cr.pow,Cu.pow,Fe.pow,Gd.pow,K.log,La.log,Mg.log,Mn.pow,Mo.pow,Na.pow,Nd.pow,Ni.log,P.log,Pb.pow,S.pow,Sr.pow,Th.pow,V.pow,Y.pow,Zn.log
ENVT_AR_FA_34,6,2,Soil,391309,6466644,115.8501824,-31.93092355,Veryard,Veryard_E,6.37,290,2958,1.85,22.54,2159,0.11,6.56,6.64,5.62,2995,0.66,424.3,2.98,562.98,66.55,0.22,212.8,2.59,2.01,396.4,13.55,577.91,11.88,NA,5.33,2.54,60.1,low.Ca,121.6,256.9,238.8,237.1,111.2,111,77.8,403.8,264.9,224.8,77.8,gt.50,gt.20,6.37,2.462397998,40.98507646,-0.736980684,1.352953912,-0.17938836,-0.958607315,0.816903839,1.943852076,0.336245941,-0.01786766,-1.231221827,2.627673032,0.474216264,2.750492967,3.977712562,-1.922252219,-0.138795458,1.539243942,0.303196057,2.598133646,-0.453373805,-0.065337418,-0.503446587,NA,-0.712825267,-0.729736726,1.778874472
ENVT_AR_FA_6,6,S3.1,Soil,391136,6466649,115.8483532,-31.93086187,Veryard,Veryard_W,7.29,254,2738,2.1,17.47,7683,0.11,5.08,6.36,6.42,2179,0.45,238.9,2.16,662.25,18.82,0.22,223.8,1.36,1.37,239.8,15.95,341.94,39.78,1.12,4.41,1.71,44.19,high.Ca,117.5,83.9,76.2,64.1,117.9,284,248.6,408.5,160.7,397.7,64.1,gt.50,gt.20,7.29,2.404833717,39.53953686,-0.692065194,1.242292905,-0.135026248,-0.958607315,0.705863712,1.914669386,0.309147736,-0.020966419,-1.491426363,2.37821615,0.334453751,2.821021967,2.625562693,-1.922252219,-0.136242168,1.149528739,0.136720567,2.379849179,-0.431481452,-0.081834322,-0.360091572,-0.94282532,-0.740679071,-0.834156071,1.645324002
ENVT_AR_FA_36,6,4,Soil,391326,6466609,115.8503583,-31.93124088,Veryard,Veryard_E,7.33,168.8,3153,2.32,12.92,4520,0.07,6.37,8.54,5.97,2597,0.68,196,2.75,367.53,41.19,0.17,140.9,2.44,1.9,232.7,12.48,245.17,29.98,0.91,5.62,2.92,30.69,high.Ca,156.5,273.9,243.8,254.1,76.1,94,65.6,368.9,248.2,208.2,65.6,gt.50,gt.20,7.33,2.227372442,42.21892363,-0.658690516,1.111262514,-0.152047757,-1.15490196,0.804139432,2.12341489,0.323662055,-0.01919568,-1.212958768,2.292256071,0.439332694,2.565292795,3.397074101,-2.148514285,-0.161562733,1.498183705,0.278753601,2.366796383,-0.464835056,-0.094388377,-0.389470519,-1.050214467,-0.705226046,-0.696146423,1.486996888
ENVT_AR_FA_33,6,5,Soil,391393,6466620,115.8510682,-31.93114808,Veryard,Veryard_E,7.82,111.1,2207,4.61,24.05,3232,0.39,3.09,7.86,23.01,4239,0.31,118,1.63,275.71,22.77,0.28,108.4,0.42,3.33,181.8,173.78,276.02,12.31,0.71,5.09,1.05,244.59,low.Ca,145.1,340.9,310.9,321.1,86.4,27,2.3,380,298.6,141,2.3,lt.50,lt.20,7.82,2.045714059,35.77095739,-0.468530612,1.381115081,-0.163900512,-0.408935393,0.489958479,2.06244728,0.138089141,-0.015004169,-1.797315568,2.071882007,0.212187604,2.440452518,2.79535327,-1.73223414,-0.177948861,0.674926652,0.522444234,2.259593879,-0.20900663,-0.089709101,-0.498507208,-1.194734178,-0.719500322,-0.983644158,2.388438697
ENVT_AR_FA_7,6,S6.1,Soil,391257,6466604,115.8496279,-31.93127938,Veryard,Veryard_W,6.68,133.1,2646,2.45,12.08,901,0.06,4.57,5.61,3.2,2359,0.4,151.9,1.82,278.02,47.74,0.17,120.3,1.51,2.29,220.6,10.85,268.87,4.76,NA,4.65,1.81,18.23,low.Ca,161.9,204.9,176.8,185.1,71.7,163,134.6,363.7,201.2,277.2,71.7,gt.50,gt.20,6.68,2.124178055,38.91663128,-0.641113181,1.082066934,-0.218138635,-1.22184875,0.6599162,1.832149298,0.479817001,-0.020146165,-1.582008339,2.181557774,0.260071388,2.444076039,3.56602535,-2.148514285,-0.171249828,1.205347725,0.359835482,2.343605508,-0.485005959,-0.090724866,-0.648783195,NA,-0.732781114,-0.818285097,1.260786669
ENVT_AR_FA_35,6,7,Soil,391409,6466622,115.8512376,-31.93113157,Veryard,Veryard_E,7.03,229.6,3137,5.19,23.82,2096,0.19,4.5,9.02,14.2,3922,0.47,227.8,1.81,333.34,31.12,0.26,84.5,1.74,2.25,272.1,44.87,297.76,9.15,0.76,6.09,2.41,119.31,low.Ca,143.1,356.9,326.7,337.1,88.3,11,18.4,382,310.2,125,11,lt.50,lt.20,7.03,2.360971884,42.11925156,-0.441779413,1.376941757,-0.18058124,-0.721246399,0.653212514,2.16457688,0.187286933,-0.015602148,-1.459310853,2.35755372,0.257678575,2.522887431,3.097852393,-1.788535246,-0.195050015,1.285336733,0.352182518,2.434728542,-0.315232752,-0.086838304,-0.541250026,-1.153233737,-0.693860112,-0.742810852,2.076676846
ENVT_AR_FA_4,7,1,Soil,391257.5,6466550,115.8496271,-31.93176651,Veryard,Veryard_W,5.71,83.6,1415,2.74,20.01,907,0.06,4.07,2.6,3.61,2539,0.56,90.7,1.78,251.31,35.6,0.1,84.6,2.16,3.1,151.1,27.58,118.64,4.51,NA,2.61,3.08,73.02,low.Ca,215.9,205.4,160.2,185.5,17.7,162.5,141.2,309.7,159.3,277.3,17.7,lt.50,lt.20,5.71,1.922206277,29.09654628,-0.606501593,1.301247089,-0.217814852,-1.22184875,0.609594409,1.398611653,0.444651861,-0.019414919,-1.336771179,1.957607287,0.250420002,2.40020977,3.237963168,-2.701469073,-0.194965047,1.417667685,0.491361694,2.179264464,-0.365409338,-0.128870894,-0.658562269,NA,-0.823594856,-0.683706735,1.863441829
ENVT_AR_FA_5,7,2,Soil,391297,6466595,115.85005,-31.93136439,Veryard,Veryard_E,6.46,128.3,2587,2.55,13.69,1506,0.13,5.14,6.17,4.29,2281,0.37,239.3,2.27,302.74,45.55,0.19,189.5,2.01,9.73,227.3,18.17,280.9,8.41,NA,4.41,2.18,40.36,low.Ca,170.7,244.9,211.9,225,62.3,123,96.1,354.8,219.1,237.3,62.3,gt.50,gt.20,6.46,2.108226656,38.51103767,-0.628514667,1.136403448,-0.194447682,-0.886056648,0.710963119,1.894388816,0.398749987,-0.020489653,-1.64497089,2.378942699,0.356025857,2.481069807,3.511371894,-2.04781135,-0.144853424,1.372171685,0.98811284,2.356599436,-0.414749413,-0.089037161,-0.554056521,NA,-0.740679071,-0.768425388,1.605951158
ENVT_AR_FA_15,7,3,Soil,391292,6466585,115.849996,-31.93145411,Veryard,Veryard_E,6.77,195.1,2894,2.77,21.25,1813,0.12,6.65,6.37,6.43,2888,0.61,237.8,2.99,375.62,48.66,0.16,188.2,3.14,4.53,347.6,22.43,410.71,9.81,0.58,5.36,3.09,48.29,low.Ca,180.7,239.9,204,220,52.4,128,102.4,344.8,208.2,242.4,52.4,gt.50,gt.20,6.77,2.290257269,40.57067333,-0.603233965,1.327358934,-0.186539398,-0.920818754,0.822821645,1.915725829,0.308844105,-0.0181975,-1.280748585,2.37621185,0.475671188,2.574748708,3.5884831,-2.205473356,-0.145221237,1.679610251,0.656098202,2.541079768,-0.389066032,-0.075647289,-0.530896894,-1.327086274,-0.712016344,-0.682958059,1.683857205
ENVT_AR_FA_16,7,4,Soil,391341,6466567,115.8505122,-31.93162116,Veryard,Veryard_E,6.62,159.8,4722,4.74,15.06,1110,0.1,8.32,10.79,5.73,3814,0.66,188.1,3.71,239.82,42.04,0.25,125,3.41,2.42,220.9,18.41,222.19,6.07,0.85,8.9,3.2,29.6,low.Ca,198.4,288.9,244.8,269,33.9,79,56.2,326.9,224.7,193.7,33.9,lt.50,gt.20,6.62,2.203576775,50.9329618,-0.462111062,1.177824972,-0.208188491,-1,0.920123326,2.305121541,0.332156066,-0.015822744,-1.231221827,2.274388796,0.56937391,2.379885399,3.419972898,-1.819068663,-0.168848945,1.743589659,0.383815366,2.344195716,-0.413100932,-0.098458947,-0.606487391,-1.088095134,-0.642596568,-0.674930893,1.471291711
